,,,,,,,,,,sd_reg_none(1)_greatdeal(5),sd_stop_cv_disagree(1)_stronglyagree(7),McD_following_sd_reg_disagree(1)_stronglyagree(7),TB_comparision_disagree(1)_stronglyagree(7),JITB_comparison_disagree(1)_stronglyagree(7),option_nocontact_delivery_UberEats_definitelynot(1)_definitelyyes(5),Change_PPE_McD_UberEats_definetlynot(1)_definityyes(5),Single_use_items_definitelynot(1)_definitelyyes(5),wash_hands_frequently_definitelyfalse(1)_definitelytrue(5),consiouos_spreading_germs_disagree(1)_stronglyagree(7),familiar_diff_delivery_apps_notfamiliar(5)_extremelyfamiliar(5),ordered_delivery_before_extremelyunlikely(1)_extremelylikely(5),UberEats_preference_donotprefer(1)_preferalot(5),DoorDash_preference_donotprefer(1)_preferalot(5),GrubHub_preference_donotprefer(1)_preferalot(5),cv_diagnosed_yes(1)_no(2),know_someone_diagnosed_cv_yes(1)_no(2),go_out_regularly_yes(1)_no(2),order_ff_more_frequently_stronglydisagree(1)_stronglyagree(7),care_about_deliveryfee_stronglydisagree(1)_stronglyagree(7),donotcare_deliveryfee_stronglydisagree(1)_stronglyagree(7),keep_ordering_after_cv_stronglydisagree(1)_stronglyagree(7),CDC_regulations_definitelyfalse(1)_definitelytrue(5),CDC_implementred_inside_extremelyuncomfortable(1)_extremelycomfortable(7),TB_comparison_CDC_reg_muchworse(1)_muchbetter(7),JITB_comparison_CDC_reg_muchworse(1)_muchbetter(7),McD_thoughts_extremelybad(1)_extremelygood(5),TB_thoughts_extremelybad(1)_extremelygood(5),JITB_thoughts_extremelybad(1)_extremelygood(5),food_handled_before_cv_stronglydisagree(1)_stronglyagree(7),food_handled_now_cv_stronglydisagree(1)_stronglyagree(7),see_changes_after_cv_stronglydisagree(1)_stronglyagree(7),employed_before_cv_yes(1)_no(2)_prefernot(3),keep_track_of_spending_habits_stronglydisagree(1)_stronglyagree(7),bought_ff_often_stronglydisagree(1)_stronglyagree(7),value_menu_before_cv_extremelyunlikely(1)_extremelylikely(7),McD_value_menu_before_cv_extremelyunlikely(1)_extremelylikely(7),TB_value_menu_before_cv_extremelyunlikely(1)_extremelylikely(7),JITB_value_menu_before_cv_extremelyunlikely(1)_extremelylikely(7),cv_effect_unemployment_yes(1)_no(2)_prefernot(3),unemployment_more_aware_spending_stronglydisagree(1)_stronglyagree(7),buy_ff_more_often_stronglydisagree(1)_stronglyagree(7),still_buy_value_menu_from_ff_stronglydisagree(1)_stronglyagree(7),McD_frequently_value_menu_never(1)_daily(5),TB_frequently_value_menu_never(1)_daily(5),JITB_frequently_value_menu_never(1)_daily(5),drive_through_when_ordering_stronglydisagree(1)_stronglyagree(7),drive_through_rush_stronglydisagree(1)_stronglyagree(7),small_orders_stronglydisagree(1)_stronglyagree(7),productivity_employess_stronglydisagree(1)_stronglyagree(7),faster_drive_through_stronglydisagree(1)_stronglyagree(7),only_drive_through_stronglydisagree(1)_stronglyagree(7),attention_check_somewhatgood(2),gender_male(1)_female(2)_prefernot(3),age,live_in_pullman_yes(1)_no(2),cv_impacted_living_status_yes(1)_no(2),english_first_language_yes(1)_no(2),,,
V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q3,Q4_2,Q4_3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q66,Q67,Q68,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q20,Q21,Q22_2,Q22_3,Q69,Q70,Q71,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q72,Q73,Q31,Q32,Q33,Q34,Q35,,Q75,Q36,Q37,Q38,Q39,Q40,Q41,Q1,Q2,Q3,Q4,Q5,Q6,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Are you following social distancing regulations?,To what extent do you agree with the following statements: It is important to social distance in...,I think McDonald's is following social distancing regulations.,"In comparison McDonald's,to what extent do you think the following restuarants are doing a good j...-Taco Bell","In comparison McDonald's,to what extent do you think the following restuarants are doing a good j...-Jack in the Box",To what extent have you recognized an option for no contact delivery on Uber Eats?,Have you noticed a change in the amount of PPE (personal protective equipment) that both McDonald...,"Have you noticed a change in the presence of single use items (used gloves, used pens, etc.)?",Do you wash your hands frequently throughout the day?,To what extent are you conscious about spreading germs to others around you?,How familiar are you with the different delivery apps available?,Have you ordered from different delivery apps before?,What are your preferences on Uber Eats?,What are your preferences on Door Dash?,What are your preferences on Grub Hub?,Have you been diagnosed with Coronavirus?,Do you know someone who has been diagnosed with Coronavirus?,Do you go out regularly even thought there is a stay-at-home order?,To what extent do you agree with the following questions? I order fast food delivery more frequen...,I care about the cost of delivery before ordering fast food.,I do not care about the cost of delivery if it is from a specific fast food restaurant I want to...,I will keep ordering fast food delivery even after the Coronavirus has ended. ,I know what the new CDC regulations are ...,How comfortable do you feel with the new CDC regulations being implemented inside fast food resta...,How do you think McDonald's is handling the new CDC regulations compared to other fast food resta...-Taco Bell,How do you think McDonald's is handling the new CDC regulations compared to other fast food resta...-Jack in the Box,What are your thoughts on McDonald's?,What are your thought on Taco Bell?,What are your thought on Jack in the Box?,To what extent do you agree with the following statements: I did not notice how my food was being...,I feel secure with how my food is being handled by the employees now. ,"I would like to see the changes on how my food is being handled stay, even after Coronavirus has...",Were you employed before the Coronavirus? ,To what extent do you agree with the following statements: I kept track keep track of my spending...,I bought fast food often.,How likely would you buy value menu items from fast food restaurants before Coronavirus?,How frequently did you buy value menu items from McDonald's?,How frequently did you buy value menu items from Taco Bell?,How frequently did you buy value menu items from Jack in the Box?,Did Coronavirus effect your employment status?,To what extent do you agree with the following statements: impact from unemployment has made me m...,I buy fast food more often now.,To what extent do you still buy value menu items from fast food restaurants?,How frequently do you still buy value menu items from McDonald's?,How frequently do you still buy value menu items from Taco Bell?,How frequently do you still buy value menu items from Jack in the Box?,To what extent do you agree with the following statements: I tend to go through the drive through...,I only go through the drive through when I am in a rush.,I only go through the drive through when I have small orders.,To what extent do you agree with the following statements: I have noticed a change in productivit...,"With no customers allowed inside the restaurant, I have recognized a faster drive through. ",I would recommend fast food restaurants only having drive through's. ,"How is your day? Although we would love to know, this is an attention check question. Please sele...",What is your gender?,What is your age?,"Do you currently live in Pullman, Washington?",Has Coronavirus impacted your living status?,Is English your first language?,LocationLatitude,LocationLongitude,LocationAccuracy
R_2R2OpcrKpZ0o8nS,Default Response Set,Anonymous,,,134.49.235.65,0,6/5/2020 18:07,6/5/2020 18:12,1,2,7,6,7,7,3,4,4,5,7,1,2,1,1,1,2,2,1,1,1,1,1,5,7,4,4,3,3,3,2,4,4,2,4,7,4,3,16,20,2,4,6,4,3,1,5,4,4,7,6,2,7,3,1,19,1,2,2,46.73139954,-117.1733017,-1
R_VJ7xIwLhgNaqVP3,Default Response Set,Anonymous,,,69.166.47.174,0,6/5/2020 18:08,6/5/2020 18:12,1,5,7,5,5,6,4,4,4,4,6,4,4,4,4,4,2,2,2,1,7,1,1,4,6,6,6,4,4,4,6,6,6,1,6,2,4,2,17,17,1,5,5,5,2,2,2,4,4,4,2,2,2,3,2,26,1,1,2,46.73139954,-117.1733017,-1
R_aXWVLHxDB4mkdWN,Default Response Set,Anonymous,,,98.146.199.3,0,6/5/2020 18:10,6/5/2020 18:14,1,2,4,5,4,3,4,5,2,3,6,3,4,5,4,3,3,2,3,4,7,4,3,4,6,6,6,5,3,4,4,3,5,3,5,3,4,4,19,18,3,3,4,5,4,3,4,4,5,4,6,6,6,4,2,23,1,1,2,46.73139954,-117.1733017,-1
R_sn7gK7UdapfxhCN,Default Response Set,Anonymous,,,69.166.47.173,0,6/5/2020 18:11,6/5/2020 18:19,1,4,6,6,5,5,3,4,4,2,5,4,4,2,5,2,2,2,2,3,7,6,6,4,5,5,4,4,4,4,5,5,3,3,7,6,3,3,17,17,1,7,4,5,2,2,2,1,7,6,6,6,5,2,3,31,1,1,2,46.73139954,-117.1733017,-1
R_3k6yuX40ntdIgCe,Default Response Set,Anonymous,,,98.145.93.1,0,6/5/2020 18:20,6/5/2020 18:22,1,1,1,1,2,2,4,5,4,1,5,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,7,7,6,3,6,6,7,4,19,19,3,5,4,5,5,5,5,7,7,6,7,7,7,2,2,25,1,1,1,46.73139954,-117.1733017,-1
R_W0eouXrMVpev8Cl,Default Response Set,Anonymous,,,98.146.200.156,0,6/5/2020 18:14,6/5/2020 18:22,1,4,6,6,6,6,4,4,3,4,6,2,4,2,3,3,2,2,2,4,4,4,5,4,5,4,4,4,4,4,7,5,7,2,4,4,4,1,16,16,3,5,5,5,1,1,1,6,6,5,4,4,4,2,2,21,1,1,2,46.73139954,-117.1733017,-1
R_5mCJVeV8TBS2MpP,Default Response Set,Anonymous,,,134.49.235.199,0,6/5/2020 18:12,6/5/2020 18:24,1,4,7,6,6,6,5,4,4,4,5,2,1,1,1,1,2,2,2,1,5,2,1,4,5,5,5,4,4,4,6,3,5,2,3,1,5,1,16,16,2,4,1,2,1,1,1,6,2,2,5,2,2,2,2,26,1,1,2,46.73139954,-117.1733017,-1
R_2PpRl77VfBCdXgp,Default Response Set,Anonymous,,,50.52.119.227,0,6/5/2020 18:19,6/5/2020 18:25,1,5,7,5,4,4,3,3,3,5,5,3,3,3,3,3,2,2,2,4,6,2,4,3,4,4,4,3,3,3,4,4,4,3,4,2,4,1,16,16,3,4,2,4,1,1,1,4,4,4,4,4,4,2,2,22,1,2,2,46.73139954,-117.1733017,-1
